AAN, NYSE
AAP, NYSE
ACC, NYSE
ACIW, NASDAQ
ACM, NYSE
ACXM, NASDAQ
ADTN, NASDAQ
ADVS, NASDAQ
AEO, NYSE
AF, NYSE
AFG, NYSE
AGCO, NYSE
AHL, NYSE
AJG, NYSE
ALB, NYSE
ALEX, NYSE
ALGN, NASDAQ
ALK, NYSE
AMCX, NASDAQ
AMD, NYSE
AMG, NYSE
ANF, NYSE
ANN, NYSE
ANR, NYSE
ANSS, NASDAQ
AOL, NYSE
AOS, NYSE
APOL, NASDAQ
ARE, NYSE
ARW, NYSE
ASBC, NASDAQ
ASH, NYSE
ASNA, NASDAQ
ATK, NYSE
ATML, NASDAQ
ATO, NYSE
ATR, NYSE
ATW, NYSE
AVT, NYSE
AYI, NYSE
BBG, NYSE
BC, NYSE
BCO, NYSE
BEAV, NASDAQ
BGC, NYSE
BID, NYSE
BIG, NYSE
BIO, NYSE
BKH, NYSE
BMR, NYSE
BOBE, NASDAQ
BOH, NYSE
BR, NYSE
BRO, NYSE
BXS, NYSE
BYI, NYSE
CAB, NYSE
CAKE, NASDAQ
CATY, NASDAQ
CBOE, NASDAQ
CBSH, NASDAQ
CBST, NASDAQ
CBT, NYSE
CDNS, NASDAQ
CEB, NYSE
CFR, NYSE
CHD, NYSE
CHS, NYSE
CIEN, NYSE
CLC, NYSE
CLF, NYSE
CLGX, NYSE
CLH, NYSE
CLI, NYSE
CMC, NYSE
CMP, NYSE
CNK, NYSE
CNL, NYSE
CNQR, NASDAQ
CNVR, NASDAQ
CNW, NYSE
COO, NYSE
CPRT, NASDAQ
CPT, NYSE
CPWR, NASDAQ
CR, NYSE
CREE, NASDAQ
CRI, NYSE
CRL, NYSE
CRR, NYSE
CRS, NYSE
CSL, NYSE
CST, NYSE
CVD, NYSE
CVG, NYSE
CVLT, NASDAQ
CXW, NYSE
CY, NASDAQ
CYH, NYSE
CYN, NYSE
CYT, NYSE
DBD, NYSE
DCI, NYSE
DDD, NYSE
DECK, NASDAQ
DF, NYSE
DKS, NYSE
DLX, NYSE
DPZ, NYSE
DRC, NYSE
DRE, NYSE
DRQ, NYSE
DST, NYSE
DV, NYSE
DWA, NASDAQ
EAT, NYSE
EGN, NYSE
ENDP, NASDAQ
ENR, NYSE
EQIX, NASDAQ
EQY, NYSE
ESL, NYSE
EV, NYSE
EWBC, NASDAQ
EXP, NYSE
EXR, NYSE
FAF, NYSE
FBHS, NYSE
FCN, NYSE
FCS, NASDAQ
FDS, NYSE
FEIC, NASDAQ
FHN, NYSE
FICO, NYSE
FII, NYSE
FL, NYSE
FLO, NYSE
FMER, NASDAQ
FNF, NYSE
FNFG, NASDAQ
FRT, NYSE
FTNT, NASDAQ
FULT, NASDAQ
GEF, NYSE
GES, NYSE
GGG, NYSE
GHL, NYSE
GMT, NYSE
GNTX, NASDAQ
GPN, NYSE
GPOR, NASDAQ
GVA, NYSE
GWR, NYSE
GXP, NYSE
HAIN, NASDAQ
HBHC, NASDAQ
HBI, NYSE
HCC, NYSE
HE, NYSE
HFC, NYSE
HII, NYSE
HIW, NYSE
HLX, NYSE
HME, NYSE
HMSY, NASDAQ
HNI, NYSE
HNT, NYSE
HOLX, NASDAQ
HPT, NYSE
HRC, NYSE
HSC, NYSE
HSH, NYSE
HSIC, NASDAQ
HSNI, NASDAQ
HUB B, NYSE
IBOC, NASDAQ
IDA, NYSE
IDCC, NASDAQ
IDTI, NASDAQ
IDXX, NASDAQ
IEX, NYSE
IM, NYSE
INFA, NASDAQ
INGR, NYSE
INT, NYSE
IPI, NYSE
IRF, NYSE
ISCA, NASDAQ
ISIL, NASDAQ
IT, NYSE
ITRI, NASDAQ
ITT, NYSE
JAH, NYSE
JBHT, NASDAQ
JBLU, NASDAQ
JCP, NYSE
JDSU, NASDAQ
JKHY, NASDAQ
JLL, NYSE
JNS, NYSE
JW A, NYSE
KATE, NYSE
KBH, NYSE
KBR, NYSE
KEX, NYSE
KMPR, NYSE
KMT, NYSE
KN, NYSE
KRC, NYSE
LAMR, NASDAQ
LANC, NASDAQ
LDOS, NYSE
LECO, NASDAQ
LII, NYSE
LKQ, NASDAQ
LNT, NYSE
LPNT, NASDAQ
LPT, NYSE
LPX, NYSE
LSTR, NASDAQ
LTM, NYSE
LXK, NYSE
MAA, NYSE
MAN, NYSE
MANT, NASDAQ
MASI, NASDAQ
MATW, NASDAQ
MCRS, NASDAQ
MCY, NYSE
MD, NYSE
MDC, NYSE
MDP, NYSE
MDRX, NASDAQ
MDU, NYSE
MENT, NASDAQ
MLHR, NASDAQ
MLM, NYSE
MNK, NYSE
MSA, NYSE
MSCI, NYSE
MSM, NYSE
MTD, NYSE
MTX, NYSE
MUSA, NYSE
NATI, NASDAQ
NCR, NYSE
NDSN, NASDAQ
NEU, NYSE
NFG, NYSE
NNN, NYSE
NSR, NYSE
NVR, NYSE
NYCB, NYSE
NYT, NYSE
O, NYSE
OCR, NYSE
ODFL, NASDAQ
ODP, NYSE
OFC, NYSE
OGE, NYSE
OGS, NYSE
OHI, NYSE
OII, NYSE
OIS, NYSE
OLN, NYSE
OMI, NYSE
ORI, NYSE
OSK, NYSE
PAY, NYSE
PB, NYSE
PCH, NASDAQ
PII, NYSE
PKG, NYSE
PL, NYSE
PLCM, NASDAQ
PLT, NYSE
PNM, NYSE
PNRA, NASDAQ
POST, NYSE
PRI, NYSE
PTC, NASDAQ
PTEN, NASDAQ
RAX, NYSE
RBC, NYSE
RCII, NASDAQ
RE, NYSE
REG, NYSE
RFMD, NASDAQ
RGA, NYSE
RGLD, NASDAQ
RJF, NYSE
RKT, NYSE
RMD, NYSE
RNR, NYSE
ROL, NYSE
ROSE, NASDAQ
ROVI, NASDAQ
RPM, NYSE
RRD, NASDAQ
RS, NYSE
RVBD, NASDAQ
RYN, NYSE
SAIC, NYSE
SBNY, NASDAQ
SCI, NYSE
SEIC, NASDAQ
SFG, NYSE
SGMS, NASDAQ
SIG, NYSE
SIRO, NASDAQ
SIVB, NASDAQ
SLAB, NASDAQ
SLG, NYSE
SLGN, NASDAQ
SLH, NYSE
SLXP, NASDAQ
SM, NYSE
SMG, NYSE
SMTC, NASDAQ
SNH, NYSE
SNPS, NASDAQ
SNV, NYSE
SON, NYSE
SPN, NYSE
SPW, NYSE
STE, NYSE
STLD, NASDAQ
STR, NYSE
SUNE, NYSE
SVU, NYSE
SWI, NYSE
SWKS, NASDAQ
SXT, NYSE
TCB, NYSE
TCO, NYSE
TDS, NYSE
TDW, NYSE
TECD, NASDAQ
TECH, NASDAQ
TER, NYSE
TEX, NYSE
TFX, NYSE
TGI, NYSE
THG, NYSE
THO, NYSE
THOR, NASDAQ
TIBX, NASDAQ
TKR, NYSE
TOL, NYSE
TPX, NYSE
TR, NYSE
TRMB, NASDAQ
TRMK, NASDAQ
TRN, NYSE
TUP, NYSE
TW, NYSE
TWTC, NASDAQ
UA, NYSE
UDR, NYSE
UFS, NYSE
UGI, NYSE
UHS, NYSE
UNFI, NASDAQ
UNT, NYSE
URI, NYSE
URS, NYSE
UTHR, NASDAQ
UTIW, NASDAQ
UVV, NYSE
VAL, NYSE
VLY, NYSE
VMI, NYSE
VSH, NYSE
VVC, NYSE
WAB, NYSE
WABC, NASDAQ
WAFD, NASDAQ
WBS, NYSE
WCG, NYSE
WCN, NYSE
WDR, NYSE
WEN, NASDAQ
WERN, NASDAQ
WEX, NYSE
WGL, NYSE
WOOF, NASDAQ
WOR, NYSE
WPX, NYSE
WR, NYSE
WRB, NYSE
WRI, NYSE
WSM, NYSE
WSO, NYSE
WTR, NYSE
WWAV, NYSE
WWD, NASDAQ
XEC, NYSE
XLS, NYSE
Y, NYSE
ZBRA, NASDAQ
